(8.7231185, 4.4839746)
(8.7231296, 4.4839843)
(8.7231433, 4.4841971)
(8.7231453, 4.48394)
(8.7231579, 4.4839509)
(8.7231585, 4.484104)
(8.72318, 4.4837629)
(8.7231935, 4.4838832)
(8.7231936, 4.4841323)
(8.7232748, 4.4839539)
(8.7232779, 4.4841992)
(8.7232966, 4.4843188)
(8.7233031, 4.4839771)
(8.7233104, 4.48413)
(8.7233235, 4.4841404)
(8.7233278, 4.4838914)
(8.7233372, 4.4840954)
(8.7233485, 4.4839185)
(8.7233488, 4.4841046)
(8.7233455, 4.4833437)
(8.7233762, 4.4805313)
(8.723386, 4.4842035)
(8.7233926, 4.4840481)
(8.7233966, 4.484212)
(8.7233989, 4.4804124)
(8.723412, 4.4841751)
(8.7234202, 4.4841816)
(8.7234278, 4.4806509)
(8.7234822, 4.4803254)
(8.723511, 4.4840475)
(8.7235388, 4.4807172)
(8.7235989, 4.4802987)
(8.7236512, 4.4807115)
(8.7237111, 4.4803411)
(8.7237794, 4.4804315)
(8.7236812, 4.4837689)
(8.7237444, 4.4806478)
(8.7237916, 4.4805446)
(8.7242432, 4.4841205)
(8.7244877, 4.4777964)
(8.7246889, 4.4819395)
(8.7245836, 4.4842353)
(8.7249521, 4.4892673)
(8.7251401, 4.4880879)
(8.7252603, 4.4782707)
(8.7253392, 4.4841763)
(8.725587, 4.4784445)
(8.7258527, 4.4838939)
(8.7260629, 4.4837683)
(8.7271162, 4.4831625)
(8.7279869, 4.4771633)
(8.7203744, 4.4863982)
(8.7202444, 4.4863726)
(8.7203055, 4.4863862)
(8.7204274, 4.4863929)
(8.7205096, 4.4863795)
(8.720574, 4.4863694)
(8.7195777, 4.4851805)
(8.7198269, 4.4856204)
(8.7200947, 4.4861059)
(8.7202455, 4.4865846)
(8.7202576, 4.4865479)
(8.7202801, 4.4865165)
(8.7203108, 4.4864935)
(8.720347, 4.486481)
(8.7203892, 4.4864807)
(8.7204292, 4.4864945)
(8.7204623, 4.4865209)
(8.7204849, 4.486557)
(8.7204907, 4.4866372)
(8.7204758, 4.4866728)
(8.7204509, 4.4867022)
(8.7204184, 4.4867226)
(8.7203813, 4.4867322)
(8.7203431, 4.4867301)
(8.7203073, 4.4867164)
(8.7202773, 4.4866924)
(8.7202558, 4.4866604)
(8.7202448, 4.4866233)
(8.7204944, 4.4865986)
(8.720951, 4.4863003)
(8.720328, 4.4859141)
(8.7200205, 4.4855976)
(8.7241855, 4.4877675)
(8.724037, 4.4881028)
(8.7241842, 4.4878158)
(8.7240503, 4.4826646)
(8.7234697, 4.4769582)
(8.7238567, 4.4770521)
(8.7241801, 4.4771522)
(8.7246653, 4.4775107)
(8.7241537, 4.4877273)
(8.7227857, 4.4869199)
(8.7227247, 4.4868261)
(8.7204606, 4.4802734)
(8.7203227, 4.4800106)
(8.7220119, 4.4805552)
(8.7212665, 4.4806758)
(8.7206912, 4.4808125)
(8.7201501, 4.4810664)
(8.720564, 4.4805309)
(8.7202485, 4.4806758)
(8.7201848, 4.4807669)
(8.7201323, 4.4812201)
(8.7175442, 4.4859597)
(8.7179976, 4.4853696)
(8.7180771, 4.485147)
